"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 05 19:20:28 UTC 2026","Wed Aug 05 19:20:29 UTC 2026","165","tests","test_cart","","","","test_continue_shopping_returns_to_inventory",""
"passed","Wed Aug 05 19:20:38 UTC 2026","Wed Aug 05 19:20:39 UTC 2026","1009","tests","test_checkout","","","","test_checkout_step_two_cancel_returns_to_inventory",""
"passed","Wed Aug 05 19:20:35 UTC 2026","Wed Aug 05 19:20:41 UTC 2026","5873","tests","test_edge_cases","","","","test_performance_glitch_user_login_is_slow",""
"passed","Wed Aug 05 19:20:29 UTC 2026","Wed Aug 05 19:20:30 UTC 2026","1183","tests","test_checkout","","","","test_checkout_complete_flow",""
"passed","Wed Aug 05 19:20:49 UTC 2026","Wed Aug 05 19:20:50 UTC 2026","712","tests","test_login","","","","test_login_from_csv[data6]",""
"passed","Wed Aug 05 19:20:46 UTC 2026","Wed Aug 05 19:20:47 UTC 2026","804","tests","test_login","","","","test_login_from_csv[data0]",""
"passed","Wed Aug 05 19:20:34 UTC 2026","Wed Aug 05 19:20:35 UTC 2026","915","tests","test_edge_cases","","","","test_problem_user_images_are_broken",""
"passed","Wed Aug 05 19:20:53 UTC 2026","Wed Aug 05 19:21:05 UTC 2026","11251","tests","test_menu","","","","test_reset_app_state_clears_cart",""
"passed","Wed Aug 05 19:20:40 UTC 2026","Wed Aug 05 19:20:41 UTC 2026","1160","tests","test_edge_cases","","","","test_visual_user_first_product_image_is_broken",""
"passed","Wed Aug 05 19:20:43 UTC 2026","Wed Aug 05 19:20:43 UTC 2026","88","tests","test_inventory","","","","test_inventory_page_loaded",""
"passed","Wed Aug 05 19:20:42 UTC 2026","Wed Aug 05 19:20:43 UTC 2026","1263","tests","test_edge_cases","","","","test_error_user_remove_from_cart_is_broken",""
"passed","Wed Aug 05 19:20:48 UTC 2026","Wed Aug 05 19:20:49 UTC 2026","793","tests","test_login","","","","test_login_from_csv[data3]",""
"passed","Wed Aug 05 19:20:56 UTC 2026","Wed Aug 05 19:21:07 UTC 2026","11076","tests","test_inventory","","","","test_add_and_remove_every_product",""
"passed","Wed Aug 05 19:20:40 UTC 2026","Wed Aug 05 19:20:40 UTC 2026","105","tests","test_footer","","","","test_footer_social_links",""
"passed","Wed Aug 05 19:20:54 UTC 2026","Wed Aug 05 19:20:54 UTC 2026","384","tests","test_product_detail","","","","test_product_detail_shows_matching_name",""
"passed","Wed Aug 05 19:20:51 UTC 2026","Wed Aug 05 19:20:52 UTC 2026","984","tests","test_menu","","","","test_all_items_link_returns_to_inventory",""
"passed","Wed Aug 05 19:20:45 UTC 2026","Wed Aug 05 19:20:45 UTC 2026","268","tests","test_inventory","","","","test_sort_price_low_to_high",""
"passed","Wed Aug 05 19:20:39 UTC 2026","Wed Aug 05 19:20:40 UTC 2026","1428","tests","test_checkout","","","","test_back_home_button_returns_to_inventory",""
"passed","Wed Aug 05 19:20:34 UTC 2026","Wed Aug 05 19:20:35 UTC 2026","1054","tests","test_checkout","","","","test_checkout_total_equals_subtotal_plus_tax",""
"passed","Wed Aug 05 19:20:46 UTC 2026","Wed Aug 05 19:20:47 UTC 2026","808","tests","test_login","","","","test_login_from_csv[data1]",""
"passed","Wed Aug 05 19:20:47 UTC 2026","Wed Aug 05 19:20:48 UTC 2026","867","tests","test_login","","","","test_login_from_csv[data2]",""
"passed","Wed Aug 05 19:20:28 UTC 2026","Wed Aug 05 19:20:29 UTC 2026","409","tests","test_cart","","","","test_multiple_items_in_cart",""
"passed","Wed Aug 05 19:20:55 UTC 2026","Wed Aug 05 19:20:56 UTC 2026","813","tests","test_menu","","","","test_logout_returns_to_login_page",""
"passed","Wed Aug 05 19:20:44 UTC 2026","Wed Aug 05 19:20:55 UTC 2026","10862","tests","test_inventory","","","","test_remove_backpack",""
"passed","Wed Aug 05 19:21:06 UTC 2026","Wed Aug 05 19:21:16 UTC 2026","10391","tests","test_product_detail","","","","test_add_and_remove_from_detail_page",""
"passed","Wed Aug 05 19:20:48 UTC 2026","Wed Aug 05 19:20:54 UTC 2026","5742","tests","test_login","","","","test_login_from_csv[data4]",""
"passed","Wed Aug 05 19:20:29 UTC 2026","Wed Aug 05 19:20:29 UTC 2026","676","tests","test_checkout","","","","test_checkout_requires_postal_code",""
"passed","Wed Aug 05 19:20:56 UTC 2026","Wed Aug 05 19:20:56 UTC 2026","284","tests","test_product_detail","","","","test_back_button_returns_to_inventory",""
"passed","Wed Aug 05 19:20:32 UTC 2026","Wed Aug 05 19:20:33 UTC 2026","1111","tests","test_checkout","","","","test_checkout_requires_last_name",""
"passed","Wed Aug 05 19:20:42 UTC 2026","Wed Aug 05 19:20:42 UTC 2026","298","tests","test_inventory","","","","test_add_backpack",""
"passed","Wed Aug 05 19:20:45 UTC 2026","Wed Aug 05 19:20:46 UTC 2026","423","tests","test_inventory","","","","test_sort_price_high_to_low",""
"passed","Wed Aug 05 19:20:49 UTC 2026","Wed Aug 05 19:20:49 UTC 2026","712","tests","test_login","","","","test_login_from_csv[data5]",""
"passed","Wed Aug 05 19:20:32 UTC 2026","Wed Aug 05 19:20:33 UTC 2026","912","tests","test_checkout","","","","test_checkout_shows_total",""
"passed","Wed Aug 05 19:20:31 UTC 2026","Wed Aug 05 19:20:32 UTC 2026","171","tests","test_cart","","","","test_remove_item_from_cart_page",""
